title,company_name,city,seniority_level,salary_min,salary_max
Werkstudent:in (w/m/d) Data Analyst / BI Analyst,Porsche Digital,Berlin,Middle or undefined,,
Data Analyst – Reporting & Power BI (m/w/d),MMC,Hamburg,Middle or undefined,,
Artificial Intelligence and Machine learning Business & Data Analyst,World Food Programme,München,Middle or undefined,,
Data Analyst / Spezialist Datenmanagement (m/w/d) - Inklusiver Job   ,Haema Blut- und Plasmaspendedienst,Leipzig (Kreis),Middle or undefined,,
Data Analyst / Spezialist Datenmanagement (m/w/d) in Leipzig,Haema GmbH von SANObund.de,Leipzig,Middle or undefined,,
Senior Data Analyst (m/w/d) - Bereich Marketing,Motel One Head Office,München,Senior,,
Marketing Data Analyst – Business Banking (w/m/d),ING,Berlin,Middle or undefined,,
Data Analyst (m/w/d) – Structural Health Monitoring,Wölfel Group,Höchberg,Middle or undefined,,
Working Student Energy Data Analyst (m/w/d),1Komma5°,Neustadt,Middle or undefined,,
Data Analyst (m/f/d) – Structural Health Monitoring,Wölfel Group,Höchberg,Middle or undefined,,
Tracking Expert Data Analyst Informatiker:in (m/w/d),Mandarin Medien,Großer Dreesch,Senior,,
Werkstudent (m/w/d) Data Analyst im Bereich Customer Service,W. Spitzner Arzneimittelfabrik,Ettlingen,Middle or undefined,,
Data Analyst (w/m/d) Öffentlicher Dienst (1000€ Unterschriftsprämie),Unistaff,München,Middle or undefined,,
Senior HR Controller / HR Data Analyst (m/w/d),Finanz Informatik & Co. KG,Centrum,Senior,,
Data Analyst (m/w/d) mit Schwerpunkt MS Power BI,Nexia,Frankfurt am Main,Middle or undefined,,
Werkstudent (m/w/d) Data Analyst im Bereich Customer Service,W. Spitzner Arzneimittelfabrik GmbH,Ettlingen,Middle or undefined,,
Data Analyst (m/w/d) mit Schwerpunkt Finanzdaten und ERP-Auswertungen,Nexia,Frankfurt am Main,Middle or undefined,,
Operational Excellence | (Junior / Mid) Data Analyst (m/w/d),Appsfactory,Zentrum,Junior,,
BI / Data Analyst (m/w/d) - Legal Hero GmbH,Legal Hero GmbH,Berlin,Middle or undefined,,
Data Analyst (m/w/d) – Business Intelligence & Merchandise Analytics,INTERSPORT Deutschland eG,Neckargartach,Middle or undefined,,
Data Analyst (m/w/d) Schwerpunkt Power BI & Query,Tabel GmbH,Laatzen,Middle or undefined,,
Controller/Data Analyst (m/w/d) im Bereich Immobilien & FM,Trenkwalder Deutschland,Köln,Middle or undefined,83200.0,104000.0
Business / Data Analyst Power BI & Microsoft Fabric (m/w/d),itmX,Altgefäll,Middle or undefined,55000.0,65000.0
Werkstudent (m/w/d) Data Analyst im Bereich Customer Service in Karlsruhe,W. Spitzner Arzneimittelfabrik GmbH,Ettlingen,Middle or undefined,,
Senior Data Analyst (w/m/d) - MSR Consulting Group GmbH,MSR Consulting Group GmbH,Köln,Senior,,
Finance & Data Analyst / Controller mit Schwerpunkt BI & Reporting (m/w/d),KENT Europe,Kaßlerfeld,Middle or undefined,,
Data Analyst/Engineer (f/m/d) - Limited to 24 months,Allianz Global Investors GmbH,Westend-Nord,Middle or undefined,,
